,Country,Year,Total Production,Exportable Production
517,Zimbabwe,1999/00,125.4843,121.4843
518,"Congo, Rep. of",1999/00,3.0,0.0
519,Cuba,1999/00,327.9874,127.9874
520,Dominican Republic,1999/00,606.879,281.879
521,Haiti,1999/00,399.027,59.027
522,Philippines,1999/00,621.7634,0.0
523,Tanzania,1999/00,842.2181,828.2181
524,Zambia,1999/00,58.725,58.125
525,Benin,1999/00,0.0,0.0
526,Cameroon,1999/00,1369.8239999999998,1269.8239999999998
527,Central African Republic,1999/00,240.68200000000002,219.68200000000002
528,Colombia,1999/00,9678.7709,8278.7709
529,"Congo, Dem. Rep. of",1999/00,477.154,277.154
530,Costa Rica,1999/00,2485.33,2110.33
531,Côte d'Ivoire,1999/00,6320.4388,6270.4388
532,El Salvador,1999/00,2598.1449,2444.8449
533,Equatorial Guinea,1999/00,179.0,179.0
534,Ethiopia,1999/00,3784.051,1872.0510000000002
535,Gabon,1999/00,2.057,1.3419999999999999
536,Ghana,1999/00,88.9011,87.9011
537,Guatemala,1999/00,5120.1288,4820.1288
538,Guinea,1999/00,363.707,313.707
539,Guyana,1999/00,5.0876,0.7376
540,Honduras,1999/00,2985.005,2817.005
541,India,1999/00,4866.5892,3949.5892
542,Jamaica,1999/00,37.9705,26.9705
543,Kenya,1999/00,1501.891,1451.891
544,"Lao, People's Dem. Rep. of",1999/00,238.77200000000002,238.77200000000002
545,Liberia,1999/00,12.163,7.162999999999999
546,Mexico,1999/00,6218.6765,5068.6765
547,Nepal,1999/00,,0.0
548,Nicaragua,1999/00,1554.0548,1423.7548
549,Nigeria,1999/00,45.067,5.067
550,Panama,1999/00,166.38099999999997,99.381
551,Sierra Leone,1999/00,59.02,54.02
552,Sri Lanka,1999/00,31.715999999999998,1.716
553,Thailand,1999/00,1272.8378,839.8378
554,Togo,1999/00,262.808,260.808
555,Trinidad & Tobago,1999/00,16.89,2.89
556,Uganda,1999/00,2862.447,2743.447
557,Venezuela,1999/00,1366.835,230.895
558,Vietnam,1999/00,11630.9138,11280.9138
559,Yemen,1999/00,60.57899999999999,60.57899999999999
560,Angola,2000/01,49.785,29.785
561,Bolivia,2000/01,172.604,112.604
562,Brazil,2000/01,31310.353,18110.353
563,Burundi,2000/01,487.46,485.46
564,Ecuador,2000/01,853.817,653.817
565,Indonesia,2000/01,6987.2397,5311.2397
566,Madagascar,2000/01,362.1618,273.0618
567,Malawi,2000/01,63.138000000000005,62.138000000000005
568,Papua New Guinea,2000/01,1040.7392,1038.7392
569,Paraguay,2000/01,42.402,22.401999999999997
570,Peru,2000/01,2675.593,2475.593
571,Rwanda,2000/01,273.363,271.363
572,Timor-Leste,2000/01,7.1279,7.1279
573,Zimbabwe,2000/01,108.523,104.523
574,"Congo, Rep. of",2000/01,3.0,0.0
575,Cuba,2000/01,312.4345,99.4345
576,Dominican Republic,2000/01,467.038,142.03799999999998
577,Haiti,2000/01,419.85,79.85
578,Philippines,2000/01,340.9218,0.0
579,Tanzania,2000/01,808.8714,793.8714
580,Zambia,2000/01,93.374,92.774
581,Benin,2000/01,0.0,0.0
582,Cameroon,2000/01,1113.143,1038.143
583,Central African Republic,2000/01,113.31299999999999,110.31299999999999
584,Colombia,2000/01,10399.886999999999,8999.886999999999
585,"Congo, Dem. Rep. of",2000/01,362.535,162.535
586,Costa Rica,2000/01,2418.536,2043.536
